id_partido,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,temporada
1,2000-09-09,Barcelona,Malaga,2,1,H,2,0,H,,,,,,,,,,,,,,,,0001
2,2000-09-09,La Coruna,Ath Bilbao,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
3,2000-09-09,Real Madrid,Valencia,2,1,H,0,0,D,,,,,,,,,,,,,,,,0001
4,2000-09-09,Sociedad,Santander,2,2,D,0,0,D,,,,,,,,,,,,,,,,0001
5,2000-09-09,Zaragoza,Espanol,1,2,A,0,0,D,,,,,,,,,,,,,,,,0001
6,2000-09-10,Las Palmas,Alaves,0,3,A,0,1,A,,,,,,,,,,,,,,,,0001
7,2000-09-10,Mallorca,Valladolid,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
8,2000-09-10,Numancia,Oviedo,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
9,2000-09-10,Osasuna,Celta,0,2,A,0,0,D,,,,,,,,,,,,,,,,0001
10,2000-09-10,Villarreal,Vallecano,1,5,A,0,3,A,,,,,,,,,,,,,,,,0001
11,2000-09-16,Ath Bilbao,Barcelona,3,1,H,1,1,D,,,,,,,,,,,,,,,,0001
12,2000-09-16,Malaga,Real Madrid,3,3,D,1,1,D,,,,,,,,,,,,,,,,0001
13,2000-09-16,Santander,La Coruna,0,3,A,0,1,A,,,,,,,,,,,,,,,,0001
14,2000-09-16,Valencia,Mallorca,4,0,H,1,0,H,,,,,,,,,,,,,,,,0001
15,2000-09-16,Valladolid,Numancia,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
16,2000-09-17,Alaves,Villarreal,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
17,2000-09-17,Celta,Sociedad,4,1,H,3,0,H,,,,,,,,,,,,,,,,0001
18,2000-09-17,Espanol,Osasuna,1,2,A,0,0,D,,,,,,,,,,,,,,,,0001
