id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9501,2025-08-15,Girona,Vallecano,A,H,0.3409319326318282,0.32639677730851396,0.33267129005965784
9503,2025-08-16,Mallorca,Barcelona,A,A,0.1789627580275026,0.23697308934488218,0.5840641526276152
9504,2025-08-16,Alaves,Levante,H,H,0.3494063794478759,0.3145411164895553,0.33605250406256876
9505,2025-08-16,Valencia,Sociedad,D,D,0.29663232716427623,0.38010607815598435,0.3232615946797394
9506,2025-08-17,Celta,Getafe,A,H,0.3937619331426051,0.3360230168352667,0.27021505002212814
9507,2025-08-17,Ath Bilbao,Sevilla,H,H,0.4056836840359214,0.3451451105154441,0.2491712054486344
9508,2025-08-17,Espanol,Ath Madrid,H,A,0.17576963352640004,0.32322058509476226,0.5010097813788377
9509,2025-08-18,Elche,Betis,D,A,0.21242441755811317,0.34237549981271315,0.44520008262917365
9510,2025-08-19,Real Madrid,Osasuna,H,H,0.6328763925223961,0.21481821845633692,0.15230538902126692
9511,2025-08-22,Betis,Alaves,H,D,0.3499957329327675,0.3552420654064709,0.29476220166076167
9512,2025-08-23,Mallorca,Celta,D,D,0.2497360757008928,0.3779476354910931,0.3723162888080141
9513,2025-08-23,Ath Madrid,Elche,D,H,0.6018537346831562,0.2198370484584718,0.17830921685837217
9514,2025-08-23,Levante,Barcelona,A,A,0.17814322403771357,0.22246682058105646,0.59938995538123
9515,2025-08-24,Osasuna,Valencia,H,D,0.31370817586375327,0.36901456764896207,0.31727725648728466
9516,2025-08-24,Sociedad,Espanol,D,H,0.36751428605764686,0.3528736819014449,0.27961203204090823
9517,2025-08-24,Villarreal,Girona,H,H,0.4433860663498304,0.3193757478194183,0.23723818583075126
9519,2025-08-25,Ath Bilbao,Vallecano,H,H,0.40599247864294546,0.3019742870651138,0.29203323429194084
9520,2025-08-25,Sevilla,Getafe,A,D,0.3137410584865297,0.38450867439401243,0.30175026711945774
